id,chessboard
oQklnWWp,r1bqk2r/pppp1pp1/2n4p/2b1p3/2B1P3/2NP1N1P/PPP2nP1/R1BQ1RK1 w kq - 0 8
QFCZwY1f,rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2
5cgBygpI,rnbqk2r/pp5p/3ppnpb/2p5/2B1P3/2NP4/PPP2PPP/R1BQ1RK1 w kq - 0 9
UhXXBOMY,2r1qrk1/p2p1ppp/1p6/8/1PP1B3/P2Pn1P1/5P1P/R1BQ1RK1 w - - 0 19
mCij4hBq,r1bqkb1r/pp1p1pp1/2n2n1p/4p3/Q3P3/4BN2/PPP2PPP/RN2KB1R w KQkq - 0 7
ifUMWtVj,4r1k1/p7/2p3PQ/1p1p4/3P4/4P3/PPn3P1/5RK1 w - - 0 35
Wf0zuLQQ,r7/pp1k4/b2p1p1p/3n4/4P3/1P3P2/P5PP/R2R2K1 w - - 0 22
srz9QfSN,1r1k3r/2pb1ppp/8/3p4/2q4P/P3pnP1/1KP2P2/R1B5 w - - 4 28
NS6ccssb,rq5k/p5pp/8/3n4/2B5/5N1P/PP3PP1/R5K1 w - - 0 27
M3vpf2Ki,5k2/7p/3p2p1/Q7/P4q2/2P4P/6P1/5rK1 w - - 0 34
fXhNOnOn,5rk1/N1n2pbp/6p1/8/8/8/2P3K1/8 w - - 0 33
DiCTkvZH,5rk1/5p1p/1Q1p2p1/p7/3P4/2p1P3/3q1nPP/6RK w - - 5 33
FSkgvV2E,4Rbk1/3r1p1p/p5p1/1p1p4/8/B7/PPB2PPP/3R2K1 w - - 1 28
F1mRjzPr,2b1kbnr/2p1p2p/p5p1/1p2n2Q/2pq4/N7/PP3PPP/R1B1KBNR w KQk - 0 11
Lq24M4KQ,rnbqk2r/pp2ppbp/3p1np1/2p3N1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQkq - 2 6
lHNM8cl5,rn1q1rk1/ppp1npb1/6pp/3pN3/3P1Bb1/3B4/PPP2PPP/RN2K2R w KQ - 0 10
GfeEgLV3,r2q1b1r/pppknQpp/8/3p4/3N4/8/PPP3PP/R1B2RK1 w - - 1 15
OR6aULrW,rnbq1rk1/4ppb1/p1pp1n2/1p1P2p1/4P3/2N2N2/PPP2PPP/R1B1KB1R w KQ - 0 12
Yg006qwa,2r2rk1/4ppbp/p1N3p1/1p3b2/8/1PN1BP2/PP4PP/K2R3R w - - 2 19
G5S21pXK,6k1/p1p2ppp/1pp5/8/2P5/2P1r1P1/PP2P2P/3R2K1 w - - 0 18
R9a2DLwe,5rk1/pp2pp1p/3p2p1/2rP4/8/2P2P2/PP4PP/R4RK1 w - - 1 17
r4LcBZA7,5rk1/1p3p1p/6p1/8/8/6P1/1q1K3P/2q1R3 w - - 0 36
SDDXGw21,r1b2rk1/pp1p4/4pppp/n3P3/7P/3B1N2/PPP2PP1/2KR3R w - - 0 16
oqoT4DLS,5k2/5p1p/P2p4/8/2P2p2/1P3P2/2K3PP/8 w - - 1 34
eSociDPG,4k2r/pp3ppp/4pn2/8/1b3B2/2Np1B2/PP4PP/5RK1 w k - 0 21
mpzYDfIK,4r3/pp6/3kpQ2/2p1N3/4P3/2P1q3/PP4PP/5R1K w - - 1 25
27zreJYy,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
IRYkgI8N,rnbqkb1r/pp1ppppp/8/2p1P3/2B1n3/8/PPPP1PPP/RNBQK1NR w KQkq - 1 4
tLnhk43J,2r1nrk1/pp2p2p/4P1p1/q2N4/3Q4/5P2/PPP3PP/2KR3R w - - 1 18
iq3Kz06t,r3k2r/ppp1bp1p/4N2B/8/8/P4P2/1PP3PP/2KRR3 w - - 1 21
AAw1TiNN,rnb1kbnr/pppp1ppp/4p3/8/3PP2q/8/PPP2PPP/RNBQKBNR w KQkq - 1 3
n4vRYUCW,rnbqkbnr/ppp2ppp/8/4p3/3Pp3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4
KYPdQv8e,5b1r/p1N3p1/4Q3/3pN1kp/3Pn3/P3P2P/1BP2PP1/R3K2R w KQ - 1 27
p30PeXvE,rn2k1r1/ppp2p1p/8/8/b1P5/3KPN2/q4nPP/5B1R w q - 0 19
PBS4FEld,r1bq1bnr/pppp1ppp/2nk4/4N3/3PP3/8/PPP2PPP/RNBQKB1R w KQ - 1 5
0lDqWVlz,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
O3wdIwg7,rn2r1k1/pp3ppp/8/5b2/3Np3/P7/1PPP1PPP/R1B1KB1R w KQ - 1 15
48ktrxLp,rnb1r1k1/pp3p2/3q2pp/2p5/2B1P3/5N2/P1P2PPP/1R2R1K1 w - - 0 16
i2GBGO0R,r1b2rk1/pp4pp/2p5/2n2p2/2P5/2N2Q2/P1B2PP1/R4K1q w - - 1 23
QZSTu1aT,r3kb1r/3n2pp/2pp1nb1/1N6/2B1p3/2N5/PPPP1PPP/R1B1K2R w KQk - 0 15
9tU9MM6P,r5k1/2p2ppp/2nq4/p7/3P4/P1P4P/5PP1/R4RK1 w - - 0 19
ztpC1S2c,r6k/p2n1rbp/b2NN1p1/5p2/pP1P3B/3K4/5PPP/R3R3 w - - 0 25
qc8aH5XL,rnb2k1r/1p2qpp1/3ppn1p/pB2N3/1B5P/PP2PQ2/5PP1/1N2K2R w K - 0 17
6sTz6t7D,rnb2k1r/pp1p1p2/5q1p/3P2p1/2p1Q3/2P2NB1/P3PPPP/R3KB1R w KQ - 1 13
XuyVUkDi,2kr3r/ppp2p2/2n3p1/7p/3PN3/PBP2Pb1/1P4Pq/R2Q1RK1 w - - 3 21
D5Oa4vGO,rnbk1q2/pp1p3p/3Np1p1/8/P7/R2QB1P1/6BP/7K w - - 0 20
6QAiH2Yy,rr4k1/6pp/1Bpn1p2/P2p4/7P/P1PR4/5PP1/R5K1 w - - 1 29
l7top9ps,8/p4pkp/4p1p1/4P3/P4P2/2pK4/3p3P/3r4 w - - 0 40
nG3Of11I,1k6/pp6/4p3/3pN2b/3P4/1P2P1Pq/P1Q4P/6K1 w - - 8 31
cUzM68JF,r1b2rk1/1Np5/p1n5/3p4/3b4/2N3pq/PPP2P2/R2Q1RK1 w - - 0 23
NZSBXWl2,5k2/1r6/p2N3p/1b1P2p1/1P2P3/P4P2/6PP/5rK1 w - - 0 32
DHuXFP6C,r7/pR5R/4k3/3p1p2/3P1P2/P1r1P1P1/7P/6K1 w - - 0 44
00R4UOcU,r6r/1p1k1ppp/pb6/1P1n4/8/N2R2P1/P1B2q1P/R4K2 w - - 0 28
IN15cBnB,6k1/p4ppp/2p5/2Pp3P/3Q4/1r1KPP2/q4P2/6R1 w - - 4 28
WYOts2ME,4k3/ppp2pp1/3b2p1/1N1p4/3q4/PP5P/2P2PP1/1RB3K1 w - - 0 19
oWFQ8mnz,8/3kqpQ1/p3p2B/3p4/P3p3/1Pr5/5PPP/5RK1 w - - 0 26
i2I8y9Xh,8/8/8/Q7/pp1k4/8/4r2K/8 w - - 6 66
osPCRdxJ,B4rk1/4npb1/b2pp1pp/4P3/p7/B3N1P1/P1nN1P1P/1R2R1K1 w - - 1 25
Mi1AmkiI,2r3k1/p4pp1/bp3n1p/2nP4/4B2R/P4PP1/1PKN1qP1/RQ6 w - - 7 24
7kK30TmL,6k1/B4p1p/1P2p1p1/3pP1N1/P4P2/7P/1r6/r6K w - - 1 33
ThCXomTn,R7/5p1p/4P1pk/1p6/6n1/2Q1P1P1/1PRr1PKP/4q3 w - - 3 31
4dH72B3d,2r4k/1p3p2/rp2pN1B/2p1P3/1P2p2R/P1n1P3/5P2/R3K3 w Q - 9 29
4jRtIZTy,2k1r3/pp3R1p/2pR1N2/8/2P5/1P6/P4KPP/4r3 w - - 3 26
wNK2HdLb,6k1/1bp2rrp/p5pR/Pp1p4/1PnPp1q1/2P1P1NR/4K2Q/4B3 w - - 0 30
d62Tg4dc,5k2/8/2R5/p6p/3p2pP/6P1/PP1N2PK/8 w - - 0 36
TaSQfvww,8/7P/5k2/5P2/1R3K2/pP6/P7/8 w - - 1 58
Xwpzq87m,r4rk1/pp3p1p/6p1/3PP1q1/2Bn4/P6b/7P/R1BQ2KR w - - 6 20
AHmgnsKz,r3kb1r/pp1npppp/1qp5/3pN3/3P1B2/1P1BP2P/P1P2PP1/R2nK2R w KQkq - 0 11
MfNml1rl,2r1r2Q/1b1nkp2/p5p1/1p1pPpq1/8/2P3P1/PP2BKPR/8 w - - 2 25
mEAvshF2,2kr1b1r/ppp2pp1/2n5/1B1p2Bp/P5n1/2NR4/1PP1QPP1/R4K1q w - - 2 18
ySsVdRfw,2rq4/1p1kn1Q1/p3RR2/2Pp4/8/2P3P1/PP1N1PP1/2K5 w - - 1 26
ylLqmXwb,4k3/1p2b3/p5r1/4R3/4p3/PP1rB1P1/5P1P/1R4K1 w - - 3 35
8mceLIXN,r4b1B/1p1knp2/p3p2p/3p4/3P2p1/2P5/PP3PPP/RN2K2R w KQ - 1 15
YmJpuJkM,6r1/5pbk/2p1p1bp/p2p4/P2P1P1P/2P5/1P1q1n1Q/4R1RK w - - 4 32
PNNfempy,6k1/p1pp2pp/1p1P1p2/1b6/1P6/P1Kr2P1/4r3/8 w - - 0 32
TVfozmF5,6k1/R7/p7/1p5p/3r3P/8/P3R3/6K1 w - - 0 43
4LX77G3m,3r1rk1/p1p2pp1/b2bp1qP/1p1pN2Q/1P1P1PP1/P1N1P3/2P5/2R1K2R w K - 1 20
nBfSissu,r3k2N/ppp1q1pp/2npbn2/2b1p3/2B1P3/3P4/PPP2PPP/RNBQK2R w KQq - 1 8
h1unxHlo,8/6k1/8/8/4K3/3p4/8/8 w - - 0 57
OIyTAHCP,6k1/3PRp2/6pp/8/p7/8/5PPP/2rR2K1 w - - 1 32
bnCnIJSz,8/8/2P2bk1/6p1/Bp4P1/4RK1P/P7/8 w - - 1 51
ZzWyY1f8,3r2k1/pp3p1p/3p1PpQ/8/2n5/8/2PK3P/q4R2 w - - 10 38
mkKSL3Ev,6k1/3KP3/5PP1/7N/7P/8/8/8 w - - 1 68
aVwWNjNR,r7/4R3/p5p1/1p3bkp/2p5/P2p4/1P6/1B1K4 w - - 2 41
DNUmSBH4,r1b5/pp3k1p/2p3p1/2P5/3P3P/3K2n1/PP4P1/7R w - - 0 24
Tlng5eqN,8/p3k1p1/5pQ1/qp1Rb3/2p4P/K6R/Pr3P2/4r3 w - - 3 36
wljkejE0,7r/p1p1kpp1/2B1p1qp/1r4b1/3PR3/1PP2P2/P4P1P/R2Q3K w - - 5 20
iNZuj8bY,3q4/3k1p2/8/Q7/2p1PP2/P4K2/1P6/7R w - - 1 46
Kan2JKOp,8/8/8/8/4Q1Q1/4BpP1/5P2/4K2k w - - 1 69
bCUwPEJ7,2r3k1/pp2npp1/4p2p/1PqpP3/6R1/1P5Q/3r1PPP/3R2K1 w - - 0 24
zTwM10Si,r1bqk2r/pp3ppp/2n5/3p4/1b3B2/5N2/PP1QPPPP/R3KB1R w KQkq - 4 10
PBQ5Il7e,2k2b1r/ppp1p1p1/3rqn2/7p/8/2N1PP1P/PP3P2/R1B2RK1 w - - 0 15
z1LTn4pe,3k1b1r/p2P1ppp/1p6/8/8/P4P2/2qN1P1P/3R2K1 w - - 1 21
7NKtCk3B,8/8/8/4KB2/5P2/5k1P/1pR5/6Q1 w - - 2 56
TMtvbg3w,3r2k1/ppp2ppp/2p5/1qK2Q2/8/1P2P2P/P7/R2Rb3 w - - 12 28
0OXPfTEt,r1bqkn1Q/1p3p2/p3p2B/3pP2P/8/4P3/PP2KPP1/RNn4R w q - 2 17
YzMf40DM,8/6k1/4p1p1/pp3p2/8/P4q2/1P1r2R1/7K w - - 0 46
q3NHAFFp,8/p3qpk1/2p3p1/1p1p2Kp/5Q2/5P1P/6P1/7r w - - 2 46
Gz7Icasx,r5k1/p1p2p1p/2P3p1/1p3b1K/5q2/PB6/1PPN1N1P/3R3R w - - 0 21
3n4poRIX,r1q1n1k1/3Rbrp1/pP1pQ2p/3Pp3/4P3/2N1B3/1PP2PPP/5RK1 w - - 9 25
XRuQPSzH,5bk1/pp4pp/1q2bp2/4pN2/3pP3/1P3QP1/r4rBP/1RR3K1 w - - 0 26
XPZikam7,8/5ppp/2Q5/3pB3/N1PPk1P1/4P2P/P4K2/3R4 w - - 3 30
5SNh53F9,r4bnr/p3kppp/4b3/q2B4/8/8/PP3PPP/RNB1K2R w KQ - 0 14
ezdEKpqG,r1bq1r1k/pppp2pp/1b6/3np1NQ/1P6/2PP4/P4PPP/RNB1K2R w KQ - 0 12
WyQjriEX,5k2/7p/8/6p1/8/8/3q4/4r1K1 w - - 18 60
vAOIY0jj,8/pp2Rpkp/6p1/4p3/3p4/8/P4PPP/1r4K1 w - - 10 34
gHld9WSr,K7/8/8/8/4k3/8/8/8 w - - 0 61
dh2xQb3X,3rkb1r/p5pp/2p5/1p6/8/1Ppb4/1P3PPP/RNB1q1KR w - - 0 19
TKwuIzb6,r3k1nr/1pp1bpp1/p1np3p/8/P1B1P3/2BP1p1P/1PP2PqK/RN1Q1R2 w kq - 4 14
s752sCLr,8/ppp1kB1p/2n3p1/4p1r1/3P4/2P1R3/PP3K2/7r w - - 0 32
lKYmVLZt,r6r/p3kppp/1pB1n3/2n5/2P5/P1N3P1/1P3P1P/R2R1K2 w - - 1 19
dRhehsEy,rnb1k2r/p1p2ppp/1q2p3/8/PbBP4/1p1NP3/1P3PPP/R3K1NR w KQkq - 0 13
7rbdtPwO,2k4B/1pp1b3/4N2p/p7/4P1P1/5Pnp/Pr6/R2R2K1 w - - 0 24
ahwTovI0,rn1q1rk1/p4ppp/2pPpb2/2P5/1n1P4/5N2/PP2bPPP/RNB1R1K1 w - - 0 19
fgK91ojo,rn2k2r/pp3ppp/2p1pn2/q7/2BPN3/4BP2/PPP2P1P/R3bRK1 w kq - 0 13
Cmhkui8U,rnbqk1nr/ppp2ppp/4p3/8/1bpP4/4P3/PP1N1PPP/R1BQKBNR w KQkq - 0 5
TRpFAEWd,k4b1r/pp3ppp/5n2/8/2R5/2N1pb1P/PPP3P1/R5K1 w - - 0 24
btHFH9xr,8/p7/8/1R6/6kP/2b3P1/P4PK1/3r4 w - - 6 43
G9xaiPFl,rn3bnr/p1N1k3/4Pp2/1pp3p1/1B5p/1B3N2/PqP4P/R2Q1RK1 w - - 0 20
RkMlSx4r,6k1/Rb4pp/8/4N3/3P3P/1r2P1P1/5P1K/7r w - - 3 30
Z1CTghfR,8/1R4P1/3R4/8/1Bk4P/8/8/6K1 w - - 1 48
X4QqWp8Q,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2
R6dF4yRx,8/8/8/6P1/1R5P/1R6/5P2/k5K1 w - - 1 49
PLxCc87r,r1b1kb1r/pppp1pp1/2n2q1p/4p3/2B1P3/3P1N2/PPP2PPP/RN1QK2R w KQkq - 0 7
p7a4FGwp,r1bq4/ppp5/3p1k2/2bPp1p1/3n3Q/3P4/PPP2PPP/R1B2RK1 w - - 0 16
3udM9T6k,1r3rk1/pbR4p/4p1pQ/1p1qPp2/8/P2n4/1P3PPP/4NRK1 w - - 0 22
hkMNenrh,rnbqk2r/pp1pbppp/5n2/2p5/3PP3/5P2/PP4PP/RNBQKBNR w KQkq - 0 6
jrmlULM0,6k1/pR5R/2P5/7p/5n2/5r2/6KP/5r2 w - - 7 37
JbLparSt,8/5p2/K3b3/8/2p5/1q6/q4k2/8 w - - 2 79
mqZFkCf3,r1bqk1nr/1pp1bppp/p7/6B1/8/2N5/PP2nPPP/R3KBNR w KQkq - 0 10
dZn9WLT5,rk6/p3R2p/1p2B3/2p1P2r/3p1P2/P7/1PPK2R1/8 w - - 0 39
MgL176RS,r3k1r1/pnp1qp1p/1n2b1p1/1N6/2P5/8/PP3PPP/2KR1BNR w q - 0 17
V16nc5AF,r1b2rk1/pp2qp2/3R3p/1N4p1/2B5/3n2Q1/PPP3PP/2K1R3 w - - 1 18
GT8TdRlm,8/8/2N2b2/5p1p/P5kP/6P1/2R3K1/5N2 w - - 5 43
2P2u5f63,2k4r/Bp3p1p/6p1/8/2b1pP2/P7/5KPP/2r5 w - - 0 26
15nlkNRf,8/6k1/8/7B/4p1pP/4B1K1/5P2/8 w - - 1 56
xwl41jna,5rk1/5qpp/p3n3/1p6/6Q1/2B2R2/PP4PP/5rK1 w - - 0 33
1zRjgcqm,b4k2/5p1p/Bnp1p1p1/2Pp2P1/3P4/2N2K1P/5P2/8 w - - 0 37
vfnLULoh,r2K4/2P2k2/3R1P2/8/8/8/8/8 w - - 3 63
ut6LIGPI,5rk1/8/2pQ2pp/8/8/8/PP3qPP/3R2K1 w - - 6 39
1KbSJtjs,6k1/6p1/5p1p/1p5r/4P2P/1P1P4/rPPK4/7R w - - 3 33
cqrATt9o,5r1k/1p2bp1p/p2ppp1Q/4q3/4b3/PB4RP/2P2PP1/5RK1 w - - 0 21
deKfSOPy,2r3k1/pp1R4/5p2/4bp2/8/P1N3P1/1P3PP1/4R1K1 w - - 0 30
vQ1psjxd,6k1/pp4pp/8/4rp2/2p4P/P1P5/1q3N2/5KR1 w - - 0 36
k1qV5HHz,r2r1bk1/1p1b1ppp/p2pp3/8/1n2nP2/1B2BQ2/PP2N1PP/2R2RK1 w - - 0 18
QQ3iIM2V,3k1r2/p3qp2/1p1brN2/2p1nR1Q/3p4/P2P2P1/1PP4P/5RK1 w - - 28 35
GppFo58m,8/1q3pkp/p2R4/3b4/8/6NP/P4PPK/8 w - - 1 32
BoDJGVyk,8/2k5/8/1P1P1p2/2K2P2/8/8/8 w - - 1 54
tqirXAEm,3r1rk1/4b3/4N2p/3nN1p1/1p1P2P1/1P2P2P/b3B3/2R2RK1 w - - 3 30
GLC4oNZR,2r5/p4ppp/3kpn2/3p4/1q1P4/1PNR3P/P1P2PP1/5RK1 w - - 5 18
3eLsB99C,8/8/1p2pk2/pKp3p1/5r2/2P3R1/8/8 w - - 2 51
M6zMVwqK,5r2/p5pp/1p2k3/8/5K2/P1PP2P1/1P5P/8 w - - 1 41
yrQWTJVz,3r1rk1/pp3pp1/7p/3p4/3N2b1/2P1qP1n/PPQ1B1PP/3RR1K1 w - - 5 23
aF6DiZZe,r2qrbk1/1p1b1p2/p2p2p1/2pP2Bp/2P1n2P/1P3PP1/P2KN1B1/2R4R w - - 0 21
0dm3RaQv,8/8/6p1/4k3/5p1P/1B1b2K1/8/8 w - - 0 53
BxxAvvER,1r2r1k1/3b1p1p/4q1p1/3pB3/8/6Q1/P5PP/R3KB2 w - - 3 26
fPPfEuu5,2Q5/8/K6R/1N1k4/8/8/8/8 w - - 3 73
Hysqcekp,8/1p3pp1/3r3p/p7/P3KPkP/1P4P1/8/3q4 w - - 0 41
oaKcGCrO,5N2/6p1/3kp3/b1np4/1p6/P5P1/6KP/8 w - - 0 35
xMezmOBz,4k3/1p2P2R/p4rr1/1b3p2/3Q4/3P3P/Pp6/1K3R2 w - - 3 39
46AuHfcq,6Q1/8/4p3/8/8/4kp2/8/q4K2 w - - 0 80
A7ddojjI,8/8/8/8/2N3k1/7p/5K2/8 w - - 0 54
SGqoxO3v,6Q1/8/p7/1pp1BK2/3P4/1PP4k/P7/8 w - - 1 59
pHJ5zXyE,r5k1/6p1/pb1qp1np/1p2P3/8/2P2QB1/PP3PPP/4R1K1 w - - 0 23
WqMvA7iE,2q3k1/pp2p2n/3p4/2p1b3/4P3/2PPR2b/PP3P2/RNB3K1 w - - 2 21
s3v6jMaX,6k1/pp2r1b1/2n1p2r/3p1pQN/3P4/8/PB4PP/4R1K1 w - - 8 30
hl3zLZmV,8/8/3R4/2B2p2/2kPnPp1/6P1/1r2K3/1q6 w - - 4 56
PHYPEO42,2kr3r/ppp2ppp/2n5/q3p2P/1bQ3P1/P1N1nP2/1PP1N3/R3KB1R w KQ - 0 16
NgZ8xxFe,5rk1/1p2ppbp/p2p2b1/6P1/8/P3B3/2N1Q2R/1q2K3 w - - 0 28
1ZeBVc5V,8/5p2/8/2r1p2p/2P2k1P/2K2P2/6p1/4R3 w - - 3 35
OmwDxZpJ,4r1K1/8/6k1/8/8/8/8/8 w - - 20 90
JewxmuG9,8/8/8/3p4/8/qp1pK3/2k5/8 w - - 0 69
0gTDO6Av,8/6qK/5k2/8/8/8/8/8 w - - 20 63
t7vvcwqO,5n2/1p5p/2p2k1K/8/pr6/8/8/8 w - - 0 49
igSDFKv0,r3r1k1/pp3p2/2p3p1/2P3P1/3B1bb1/P2B4/1P4q1/R3K3 w - - 1 27
facMwkUo,r1b1r3/1p1pk1BR/p2b2p1/4p3/2B2P2/1P4Q1/P1PPK1P1/q7 w - - 2 20
j5KY62yS,rnb1kb1r/pppp1ppp/4p3/4P3/3Pn3/2N2N2/PPP2qPP/R1BQKB1R w KQkq - 0 6
nyYULwUl,r2q3k/pp2RQp1/7p/2p5/8/P2b4/5PPP/1r2R1K1 w - - 1 26
h0YsGMhj,r1bqk2r/pppp1ppp/2P5/8/1bB5/5N2/PP3PPP/R1BnK2R w KQkq - 0 10
o4T7dj5h,6k1/2p2pp1/3p3p/4p3/8/2q5/2q5/r5K1 w - - 12 54
VgNt0SSX,2k1r2r/ppp3Rp/3b1n2/3p4/6P1/3P1K1q/PPPQ1P2/RN6 w - - 1 20
UvqLtnPM,6k1/5ppp/pp6/4P3/Q4P2/8/P4PK1/8 w - - 0 30
1b0kpInt,8/8/5R1Q/8/6k1/8/5P1K/8 w - - 5 56
dJEtAQp7,r1b2rk1/1p1p1ppp/p1p5/8/q3P3/2b5/PPPB1PPP/R4RK1 w - - 0 15
ZPHBiKBY,8/8/3pB3/1N3K2/5P2/8/2k2r2/8 w - - 0 51
I8odmGjb,r1bqkb1r/p1ppn1pp/1p3p2/3Q4/2B1P3/8/PPP2PPP/RNB1K2R w KQkq - 2 8
DijZlfMy,2Q5/4bkp1/1p5p/p7/8/8/PPP2PPP/R5K1 w - - 1 22
LyRqbD4d,8/8/b5p1/6k1/8/2K5/8/1q6 w - - 0 60
CvakmVNb,r5k1/ppp3pp/1b6/4p3/3P4/1b1q4/PP3PPP/R1B3K1 w - - 0 18
O037dETy,1r4k1/5p1p/4p1p1/b7/8/8/1P3PPP/3K4 w - - 0 31
CxQlHSnq,4k3/1p6/p3p3/7p/8/PP1KN3/2P2BP1/7q w - - 0 34
Q0jogkvi,rn1qkb1r/1p1n1pp1/2pp3p/4P2b/p1B1P3/2N1BN1P/PPP2PP1/R2Q1RK1 w kq - 1 11
QurxyQkA,8/5BQ1/7p/1p3k2/3B4/P5PP/1Pq2P1K/3b4 w - - 1 37
mJ9VpdxV,8/8/8/8/8/k7/2K5/1Q6 w - - 25 80
edYOVb5F,Q7/1Q6/3k4/8/8/8/1PP2PPP/R3K2R w KQ - 3 38
GstYv2mJ,r3k1nr/1p4pp/3b4/n2pp3/8/7R/2PPPP2/R1BQK1q1 w Qkq - 0 15
dFQ5D7CS,7k/6p1/3p4/2p5/8/1q6/8/K6q w - - 8 57
2FpFvoMt,8/8/4K3/5p2/5rk1/8/8/8 w - - 0 53
cywOBEY5,r4rk1/2p2ppp/2b5/pp2PQ2/8/2P1P3/6qP/2RR2K1 w - - 0 21
pnU8dLUx,6k1/pp4p1/7p/8/3RP3/8/PPP3PP/5r1K w - - 1 23
lE65efFF,8/8/8/8/1k6/8/2K5/8 w - - 0 76
bCVL4bZl,2b1k2r/1p3ppp/2p1p3/3p4/8/6bP/5qP1/1R3K2 w k - 4 31
WUyPeYW8,4kb1r/pQ3ppp/4p3/3pP3/3n4/B4N2/P4PPP/qN2K2R w K - 5 19
xRY7h8aS,6r1/4p1k1/1N1p1p2/6p1/3B1b2/8/4KPbp/8 w - - 0 45
92UGyHOr,k7/8/2K5/8/8/1Q6/8/8 w - - 12 57
UqxaqU7R,3B4/pb6/k1p5/8/6Q1/8/1rP1K2P/8 w - - 0 28
TTzZc8gW,1R6/8/6N1/8/k1K5/7P/8/8 w - - 19 68
F7oADKYb,8/8/8/8/8/8/k1qK4/8 w - - 0 69
GoYkQEoS,8/5kpp/4qp2/4p2P/1p4P1/5PK1/p7/3Q4 w - - 0 49
DszY6Pr4,3bk2r/ppq2p2/2p3np/4p1p1/4P3/2N1QNPb/PPP2P1P/4R1K1 w k - 0 17
FhJcOzZW,r3r1k1/2p1qppp/p1n5/1p1p4/3Pn1b1/P1B2NP1/1PP1QPBP/R3R1K1 w - - 0 15
kKFslhlg,2kr3r/3p1q2/p3p3/1p4P1/1P1b3p/P6P/2P2Pn1/2K5 w - - 0 28
VVkKGe4E,8/1K6/2p5/4B3/PP5k/7p/2P5/8 w - - 1 46
11VaOez1,5rk1/pp6/4r3/3pNp2/3N2p1/2P5/PP6/2K3R1 w - - 0 27
2akR3Bit,3Qb1kr/5pp1/2p4p/8/8/3B4/P1PB1PPb/RN3K2 w - - 0 25
mG2dEz4z,rn2r1k1/5pp1/p2p3p/3P3Q/b1N5/2b2R2/P1q3PP/R1K5 w - - 0 25
xrZnbIGD,r1b1kb1r/1p1p1ppp/pB2p3/8/2B1P3/2N5/PPn2PPP/R3K2R w KQkq - 0 11
